month,side,ticker,category,fonte,note
2020-01,PIT_only,DAY,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2020-01,PIT_only,WCG,DELISTED_INTRA_PERIOD,WAYBACK_IVV,
2020-02,PIT_only,DAY,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2020-03,PIT_only,DAY,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2020-05,PIT_only,AGN,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2020-05,PIT_only,CPRI,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2020-05,PIT_only,DAY,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2020-05,PIT_only,HP,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2020-08,PIT_only,DAY,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2020-09,PIT_only,COTY,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2020-09,PIT_only,DAY,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2020-09,PIT_only,HRB,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2020-09,PIT_only,KSS,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2020-11,PIT_only,DAY,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2020-12,IVV_only,,IVV_CASH_POSITION,WAYBACK_IVV,
2020-12,PIT_only,AIV,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2020-12,PIT_only,DAY,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2021-02,PIT_only,DAY,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2021-02,PIT_only,FTI,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2021-03,PIT_only,DAY,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2021-03,PIT_only,FLS,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2021-03,PIT_only,SLG,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2021-03,PIT_only,VNT,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2021-03,PIT_only,XRX,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2021-04,PIT_only,DAY,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2021-04,PIT_only,VAR,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2021-06,PIT_only,DAY,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2021-06,PIT_only,HFC,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2021-07,PIT_only,ALXN,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2021-07,PIT_only,DAY,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2021-08,PIT_only,DAY,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2021-08,PIT_only,MXIM,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2021-09,PIT_only,NOV,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2021-09,PIT_only,PRGO,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2021-09,PIT_only,UNM,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2021-12,PIT_only,HBI,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2021-12,PIT_only,KSU,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2021-12,PIT_only,LEG,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2021-12,PIT_only,WU,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2022-02,PIT_only,GPS,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2022-02,PIT_only,INFO,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2022-02,PIT_only,XLNX,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2022-03,PIT_only,INFO,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2022-06,PIT_only,CERN,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2022-06,PIT_only,IPGP,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2022-06,PIT_only,UA,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2022-06,PIT_only,UAA,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2022-09,IVV_only,EQT,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2022-09,IVV_only,PCG,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2022-09,PIT_only,PENN,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2022-09,PIT_only,PVH,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2022-12,PIT_only,ABMD,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2022-12,PIT_only,FBHS,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2022-12,PIT_only,MBC,IVV_CASH_POSITION,WAYBACK_IVV,
2023-03,PIT_only,LUMN,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2023-03,PIT_only,SBNY,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2023-03,PIT_only,SIVB,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2023-05,PIT_only,FRC,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2023-06,PIT_only,DISH,ADDED_INTRA_PERIOD,WAYBACK_IVV,
