fold_id,is_start,is_end,oos_start,oos_end,is_sharpe_a,oos_sharpe_a,degradation_ratio,overfitting_flag,is_pnl_pct,oos_pnl_pct,is_max_dd,oos_max_dd,is_trades,oos_trades,n_combos_evaluated,n_combos_skipped_min_trades,is_n_bars,is_n_nonzero_returns,is_sharpe_bt,is_sharpe_flag,oos_n_bars,oos_n_nonzero_returns,oos_sharpe_bt,oos_sharpe_flag,param_max_sector_pct,param_min_concordant,param_threshold
1,2024-08-01,2025-08-01,2025-08-01,2025-11-01,1.1500441009281517,1.1737317187709388,1.0205971386868293,False,25.718240509015324,4.0500902151031415,14.087057867310856,1.7019638297335498,20,13,36,12,523,264,1.1511451486680624,ok,327,71,1.175530542383886,ok,,3,0.3
2,2024-11-01,2025-11-01,2025-11-01,2026-02-01,1.317864981528689,1.0468612869923137,0.7943615633355566,False,25.164361146822433,2.9289492204456202,10.99110543687875,1.5980243144218886,20,9,36,12,522,267,1.3191291208903524,ok,326,69,1.0484706058316844,ok,,3,0.3
3,2025-02-01,2026-02-01,2026-02-01,2026-05-01,1.793541936476935,0.8645917660500391,0.4820582939634865,False,34.48987584964751,2.7295404047384286,8.843014520731849,2.3765296280941834,20,9,36,12,521,261,1.7952656677123384,ok,325,64,0.8659249846770505,ok,,3,0.3
