date,ret_port,contrib_BBVA.MC,contrib_EDP.LS,contrib_ENEL.MI,contrib_ETE.AT,contrib_EUROB.AT,contrib_FER.MC,contrib_GMAB.CO,contrib_IBE.MC,contrib_MU,contrib_PRY.MI
2025-11-04,-0.004361029838492532,0.0014002057101985836,0.0009383788590524316,0.0016522838472782142,-3.820161165923546e-05,-0.0021495310858069125,0.0010146914544282915,0.0010967194301545215,0.0015085709390355658,-0.0074909403285983184,-0.002293207052575674
2025-11-05,0.010685506859935103,0.0005754232569665149,0.0005811138818915188,-0.000238768799605785,0.0006878770922037956,0.0,0.001376715976352122,-0.0022332374059525514,-8.575774770273082e-05,0.00941810647089605,0.0006040341348861698
2025-11-06,-0.010557295476456828,0.00168790193843559,-0.006540714009409256,-0.0005014516015843025,-0.004402706843776915,0.0007530019247639458,-0.0009911523389345533,0.0013204130700427954,-5.7223700642988666e-05,0.00036857791241325387,-0.0021939418277644
2025-11-07,-0.016244253579218684,-0.002616829196956439,-0.005262172683112357,-0.00032068556568172225,-0.00047642109395639246,-0.0005605714137619318,-0.00077851301972963,-0.0009124646932276245,-0.0007443158289450231,-0.00018143576027161075,-0.004390844323575955
2025-11-10,0.022560921776751813,0.004246376142868898,0.0019282011828215852,0.0004480770025906848,0.0012765248862041255,0.0035074832274479576,0.0010834213408595374,0.0012912795347462115,-8.651129136706841e-05,0.006817723671685295,0.0020483460788945852
2025-11-11,-0.0041125230221898375,0.00188500314836506,-0.00629038617057636,0.0005948262099791708,0.0003938902213355948,0.0006355841502161785,0.0002957111638564442,0.0019761452928609095,0.0005772584573559953,-0.005075542480060429,0.0008949869844775974
2025-11-12,0.015523434920404948,0.0019592959782997314,0.0028624243930144974,-0.0001933352928549573,0.002707176048862872,0.0012331536931179858,0.0011056926767743264,0.0020645464663632093,0.0009757996016579099,0.0016578188976109974,0.0011508624575583754
2025-11-13,-0.00020841237868849814,-0.00013347916064762217,0.00010605075096856468,0.00020510178885653547,0.0006494128257822614,0.003119984568058191,-0.00021875373348985034,-4.334845623511885e-05,0.0004548368387394156,-0.003423671259063524,-0.0009245465416573507
2025-11-14,-0.001500936190154903,-0.0026462199577752805,-2.6483419957706296e-05,0.00026153631930300524,-0.0008350008684827092,-0.0015853208714525016,-0.00047497877987589426,-0.00047707574346216275,0.0003396067001085113,0.004397585795748076,-0.0004545853643082413
2025-11-17,-0.001839300321502799,-0.0015097050271072623,0.00029141264466509627,0.0011682362226318756,0.00022964810706620076,-0.0002342719188117682,-0.0009911523389345533,0.0009595242365307528,0.0006205499219469144,-0.002085144608799351,-0.0002883975606907042
