trial_id,fold_id,phase,params_json,sharpe_a,sharpe_flag,n_bars,n_nonzero_returns,date,daily_return
1,1,IS,"{""max_sector_pct"": null, ""min_concordant"": 2, ""threshold"": 0.15}",0.9745519419444608,ok,523,272,2024-09-19,0.0081413415
1,1,IS,"{""max_sector_pct"": null, ""min_concordant"": 2, ""threshold"": 0.15}",0.9745519419444608,ok,523,272,2024-09-20,0.0007967253
1,1,IS,"{""max_sector_pct"": null, ""min_concordant"": 2, ""threshold"": 0.15}",0.9745519419444608,ok,523,272,2024-09-23,0.0073019930
1,1,IS,"{""max_sector_pct"": null, ""min_concordant"": 2, ""threshold"": 0.15}",0.9745519419444608,ok,523,272,2024-09-24,0.0053677663
1,1,IS,"{""max_sector_pct"": null, ""min_concordant"": 2, ""threshold"": 0.15}",0.9745519419444608,ok,523,272,2024-09-25,0.0047061741
1,1,IS,"{""max_sector_pct"": null, ""min_concordant"": 2, ""threshold"": 0.15}",0.9745519419444608,ok,523,272,2024-09-26,-0.0009345397
1,1,IS,"{""max_sector_pct"": null, ""min_concordant"": 2, ""threshold"": 0.15}",0.9745519419444608,ok,523,272,2024-09-27,-0.0092587891
1,1,IS,"{""max_sector_pct"": null, ""min_concordant"": 2, ""threshold"": 0.15}",0.9745519419444608,ok,523,272,2024-09-30,0.0014331858
1,1,IS,"{""max_sector_pct"": null, ""min_concordant"": 2, ""threshold"": 0.15}",0.9745519419444608,ok,523,272,2024-10-01,0.0041506403
1,1,IS,"{""max_sector_pct"": null, ""min_concordant"": 2, ""threshold"": 0.15}",0.9745519419444608,ok,523,272,2024-10-02,-0.0133809268
1,1,IS,"{""max_sector_pct"": null, ""min_concordant"": 2, ""threshold"": 0.15}",0.9745519419444608,ok,523,272,2024-10-03,-0.0037864758
1,1,IS,"{""max_sector_pct"": null, ""min_concordant"": 2, ""threshold"": 0.15}",0.9745519419444608,ok,523,272,2024-10-04,0.0041625387
