date_iso,added_ticker,added_security,removed_ticker,removed_security,reason
2022-10-03,PCG,PG&E,CTXS,Citrix Systems,Vista Equity Partners acquired Citrix Systems.
2022-10-03,EQT,EQT Corporation,DRE,Duke Realty,S&P 500 constituent Prologis Inc. acquired Duke Realty.
2022-09-19,CSGP,CoStar Group,PVH,PVH,Market capitalization change.
2022-09-19,INVH,Invitation Homes,PENN,Penn Entertainment,Market capitalization change.
2022-06-21,,,UA,Under Armour (Class C),Market capitalization change.
2022-06-21,KDP,Keurig Dr Pepper,UAA,Under Armour (Class A),Market capitalization change.
2022-06-21,ON,ON Semiconductor,IPGP,IPG Photonics,Market capitalization change.
2022-06-08,VICI,Vici Properties,CERN,Cerner,S&P 500 constituent Oracle Corp. acquired Cerner.
2022-04-11,WBD,Warner Bros. Discovery,DISCA,"Discovery, Inc.",WarnerMedia and Discovery merge to create Warner Bros. Discovery.
2022-04-11,,,DISCK,"Discovery, Inc.",WarnerMedia and Discovery merge to create Warner Bros. Discovery.
2022-04-04,CPT,Camden Property Trust,PBCT,People's United Financial,S&P 500 constituent M&T Bank Corp. acquired People's United Financial.
2022-03-02,MOH,Molina Healthcare,INFO,IHS Markit,S&P 500 constituent S&P Global Inc. acquired IHS Markit.
2022-02-15,NDSN,Nordson Corporation,XLNX,Xilinx,S&P 500 constituent Advanced Micro Devices acquired Xilinx.
2022-02-03,,,GPS,Gap,Market capitalization change.
2022-02-02,CEG,Constellation Energy,,,S&P 500 and 100 constituent Exelon Corp. spun off Constellation Energy.
2021-12-20,SBNY,Signature Bank,LEG,Leggett & Platt,Market capitalization change.
2021-12-20,SEDG,SolarEdge,HBI,Hanesbrands,Market capitalization change.
2021-12-20,FDS,FactSet,WU,Western Union,Market capitalization change.
2021-12-14,EPAM,EPAM Systems,KSU,Kansas City Southern,Canadian Pacific acquired Kansas City Southern.
2021-09-20,MTCH,Match Group,PRGO,Perrigo,Market capitalization change.
2021-09-20,CDAY,Ceridian,UNM,Unum,Market capitalization change.
2021-09-20,BRO,Brown & Brown,NOV,Nov,Market capitalization change.
2021-08-30,TECH,Bio-Techne,MXIM,Maxim Integrated,S&P 500 constituent Analog Devices acquired Maxim Integrated Products.
2021-07-21,MRNA,Moderna,ALXN,Alexion Pharmaceuticals,AstraZeneca acquired Alexion Pharmaceuticals.
2021-06-04,,,HFC,HollyFrontier,Market capitalization change.
2021-06-03,OGN,Organon & Co.,,,S&P 500/100 constituent Merck & Co. spun off Organon.
2021-05-14,CRL,Charles River Laboratories,FLIR,FLIR Systems,S&P 500 constituent Teledyne Technologies acquired FLIR Systems.
2021-04-20,PTC,PTC,VAR,Varian Medical Systems,Siemens Healthineers acquired Varian Medical Systems.
2021-03-22,NXPI,NXP,FLS,Flowserve,Market capitalization change.
2021-03-22,PENN,Penn National Gaming,SLG,SL Green Realty,Market capitalization change.
2021-03-22,GNRC,Generac Holdings,XRX,Xerox,Market capitalization change.
2021-03-22,CZR,Caesars Entertainment,VNT,Vontier,Market capitalization change.
2021-02-12,MPWR,Monolithic Power Systems,FTI,TechnipFMC,TechnipFMC was removed from the S&P 500 in anticipation of its announced spin-off of Technip Energies.
2021-01-21,TRMB,Trimble,CXO,Concho Resources,S&P 500/100 constituent ConocoPhillips acquired Concho Resources.
2021-01-07,ENPH,Enphase Energy,TIF,Tiffany & Co,LVMH Moet Hennessy-Louis Vuitton SE acquired Tiffany & Co.
2020-12-21,TSLA,Tesla,AIV,Apartment Investment & Management,Apartment Investment and Management (Aimco) spun off Apartment Income REIT.
2020-10-12,,,NBL,Noble Energy,Chevron acquired Noble Energy.
2020-10-09,VNT,Vontier,,,S&P 500 constituent Fortive spun off Vontier.
2020-10-07,POOL,Pool Corporation,ETFC,E-Trade,Morgan Stanley acquired E*Trade.
2020-09-21,ETSY,Etsy,HRB,H&R Block,Market capitalization change.
2020-09-21,TER,Teradyne,COTY,Coty,Market capitalization change.
2020-09-21,CTLT,Catalent,KSS,Kohl's,Market capitalization change.
2020-06-22,BIO,Bio-Rad Laboratories,ADS,Alliance Data Systems,Market capitalization change.
2020-06-22,TDY,Teledyne,HOG,Harley-Davidson,Market capitalization change.
2020-06-22,TYL,Tyler Technologies,JWN,Nordstrom,Market capitalization change.
2020-05-22,WST,West Pharmaceutical Services,HP,Helmerich & Payne,Market capitalization change.
2020-05-12,DPZ,Domino's Pizza,CPRI,Capri Holdings,Market capitalization change.
2020-05-12,DXCM,Dexcom,AGN,Allergan,Allergan acquired by AbbVie.
2020-04-06,,,M,Macy's,Market capitalization change.
2020-04-06,,,RTN,Raytheon Company,United Technologies spun off Otis and Carrier and acquired Raytheon Company.
2020-04-03,OTIS,Otis Worldwide,,,United Technologies spun off Otis and Carrier and acquired Raytheon Company.
2020-04-03,CARR,Carrier,,,United Technologies spun off Otis and Carrier and acquired Raytheon Company.
2020-04-01,HWM,Howmet Aerospace,ARNC,Arconic,Arconic separated into 2 companies - Howmet remained on the index.
2020-03-02,IR,Ingersoll Rand,XEC,Cimarex Energy,"Gardner Denver acquired Ingersoll Rand's industrial businesses then changed its name to the ""new"" Ingersoll Rand Inc."
2020-01-28,PAYC,Paycom,WCG,WellCare,S&P 500 constituent Centene Corp. (NYSE: CNC) acquired Wellcare Health Plans.
