fold_id,oos_start,oos_end,ticker,dt_open,dt_close,bars_held,size,entry_price,notional_open,pnl_gross,pnl_net,pnl_pct,commission,status
1,2025-08-01,2025-11-01,AMZN,2025-08-04,,0,46.0,217.39999389648438,10000.4,1233.72,1233.72,12.337,0.0,open_at_end
1,2025-08-01,2025-11-01,BBVA.MC,2025-08-04,,0,696.0,14.470000267028809,10071.12,2063.64,2063.64,20.491,0.0,open_at_end
1,2025-08-01,2025-11-01,BKNG,2025-08-04,,0,46.0,216.47999572753906,9958.08,-615.04,-615.04,-6.176,0.0,open_at_end
1,2025-08-01,2025-11-01,BMPS.MI,2025-08-04,,0,1367.0,7.363999843597412,10066.59,300.74,300.74,2.988,0.0,open_at_end
1,2025-08-01,2025-11-01,ENEL.MI,2025-08-04,,0,1300.0,7.695000171661377,10003.5,1400.1,1400.1,13.996,0.0,open_at_end
1,2025-08-01,2025-11-01,JMT.LS,2025-08-04,,0,486.0,20.559999465942383,9992.16,865.08,865.08,8.658,0.0,open_at_end
1,2025-08-01,2025-11-01,LHA.DE,2025-08-04,,0,1369.0,7.3979997634887695,10127.86,268.32,268.32,2.649,0.0,open_at_end
1,2025-08-01,2025-11-01,META,2025-08-05,,0,12.0,776.4500122070312,9317.4,-1537.2,-1537.2,-16.498,0.0,open_at_end
1,2025-08-01,2025-11-01,MSFT,2025-08-04,,0,19.0,528.27001953125,10037.13,-198.74,-198.74,-1.98,0.0,open_at_end
1,2025-08-01,2025-11-01,MU,2025-09-19,,0,61.0,162.75,9927.75,3722.22,3722.22,37.493,0.0,open_at_end
2,2025-11-01,2026-02-01,AENA.MC,2025-11-04,,0,422.0,23.520000457763672,9925.44,1143.62,1143.62,11.522,0.0,open_at_end
2,2025-11-01,2026-02-01,AMZN,2025-11-04,,0,39.0,250.3800048828125,9764.82,-432.12,-432.12,-4.425,0.0,open_at_end
2,2025-11-01,2026-02-01,BMPS.MI,2025-11-11,,0,1212.0,8.291999816894531,10049.9,535.7,535.7,5.33,0.0,open_at_end
2,2025-11-01,2026-02-01,GMAB.CO,2025-11-04,,0,5.0,1839.0,9195.0,915.0,915.0,9.951,0.0,open_at_end
2,2025-11-01,2026-02-01,JMT.LS,2025-11-04,,0,449.0,22.200000762939453,9967.8,-1028.21,-1028.21,-10.315,0.0,open_at_end
2,2025-11-01,2026-02-01,LHA.DE,2025-11-04,,0,1245.0,7.940000057220459,9885.3,946.2,946.2,9.572,0.0,open_at_end
2,2025-11-01,2026-02-01,MSFT,2025-11-04,,0,19.0,511.760009765625,9723.44,-1547.93,-1547.93,-15.92,0.0,open_at_end
2,2025-11-01,2026-02-01,MU,2025-12-18,,0,44.0,256.5299987792969,11287.32,6967.4,6967.4,61.728,0.0,open_at_end
2,2025-11-01,2026-02-01,PPC.AT,2025-11-14,,0,600.0,16.75,10050.0,1926.0,1926.0,19.164,0.0,open_at_end
2,2025-11-01,2026-02-01,REP.MC,2025-11-04,,0,626.0,15.899999618530273,9953.4,410.03,410.03,4.12,0.0,open_at_end
3,2026-02-01,2026-05-01,AENA.MC,2026-02-03,,0,378.0,26.5,10017.0,-1232.28,-1232.28,-12.302,0.0,open_at_end
3,2026-02-01,2026-05-01,BBVA.MC,2026-02-03,,0,456.0,22.09000015258789,10073.04,-1495.68,-1495.68,-14.848,0.0,open_at_end
3,2026-02-01,2026-05-01,BNP.PA,2026-02-03,,0,108.0,93.30000305175781,10076.4,-439.56,-439.56,-4.362,0.0,open_at_end
3,2026-02-01,2026-05-01,EDP.LS,2026-02-03,,0,2344.0,4.283999919891357,10041.7,841.5,841.5,8.38,0.0,open_at_end
3,2026-02-01,2026-05-01,ETE.AT,2026-02-03,,0,651.0,15.699999809265137,10220.7,-1481.02,-1481.02,-14.49,0.0,open_at_end
3,2026-02-01,2026-05-01,EUROB.AT,2026-02-03,,0,2382.0,4.289999961853027,10218.78,-1453.02,-1453.02,-14.219,0.0,open_at_end
3,2026-02-01,2026-05-01,MU,2026-02-03,,0,22.0,442.1600036621094,9727.52,2201.1,2201.1,22.628,0.0,open_at_end
3,2026-02-01,2026-05-01,PPC.AT,2026-02-03,,0,497.0,20.260000228881836,10069.22,-1118.25,-1118.25,-11.106,0.0,open_at_end
3,2026-02-01,2026-05-01,PRY.MI,2026-02-03,,0,99.0,102.69999694824219,10167.3,2499.75,2499.75,24.586,0.0,open_at_end
3,2026-02-01,2026-05-01,WMT,2026-02-05,,0,72.0,128.5800018310547,9257.76,217.44,217.44,2.349,0.0,open_at_end
