fold_id,is_start,is_end,oos_start,oos_end,is_sharpe_a,oos_sharpe_a,degradation_ratio,overfitting_flag,is_pnl_pct,oos_pnl_pct,is_max_dd,oos_max_dd,is_trades,oos_trades,n_combos_evaluated,n_combos_skipped_min_trades,is_n_bars,is_n_nonzero_returns,is_sharpe_bt,is_sharpe_flag,oos_n_bars,oos_n_nonzero_returns,oos_sharpe_bt,oos_sharpe_flag,param_max_sector_pct,param_min_concordant,param_threshold
1,2024-08-01,2025-08-01,2025-08-01,2025-11-01,1.203721593709969,0.688004392649321,0.5715643851904616,False,27.847320519618044,4.559441227598193,14.521286802242358,4.820080894649596,10,10,8,0,523,267,1.2048740320722602,ok,327,71,0.6890588061302866,ok,,3,0.25
2,2024-11-01,2025-11-01,2025-11-01,2026-02-01,1.108013693801347,1.9414695965539395,1.7522072221807945,False,27.192050611716255,21.262330027948373,16.08707984961735,3.7059488947646617,13,10,8,0,522,270,1.1090765369174693,ok,326,75,1.9444541787871565,ok,,2,0.25
3,2025-02-01,2026-02-01,2026-02-01,2026-05-01,1.4650661540983443,0.658350848228067,0.4493659527840505,False,35.652364661987754,7.538741699649809,14.06780184290101,8.473276381541353,13,12,8,0,521,269,1.466474194936638,ok,325,75,0.6593660390365295,ok,0.3,2,0.25
