fold_id,is_start,is_end,oos_start,oos_end,is_sharpe_a,oos_sharpe_a,degradation_ratio,overfitting_flag,is_pnl_pct,oos_pnl_pct,is_max_dd,oos_max_dd,is_trades,oos_trades,n_combos_evaluated,n_combos_skipped_min_trades,is_n_bars,is_n_nonzero_returns,is_sharpe_bt,is_sharpe_flag,oos_n_bars,oos_n_nonzero_returns,oos_sharpe_bt,oos_sharpe_flag,param_max_portfolio_beta,param_max_sector_pct,param_min_concordant,param_target_risk_pct,param_threshold
1,2024-08-01,2025-08-01,2025-08-01,2025-11-01,2.083819934210407,2.630726481706253,1.2624538418685767,False,40.74228922187759,7.4033441864952865,15.69415758463177,3.879060792311922,10,10,72,0,262,258,1.4713770437488667,ok,66,65,1.177901428831621,ok,,,3,0.008,0.25
2,2024-11-01,2025-11-01,2025-11-01,2026-02-01,1.4750974363407627,3.032969922188687,2.0561149707591517,False,31.459654527533544,9.735890995464791,17.496368604021583,2.6337734330475175,10,10,72,0,261,257,1.04279809928909,ok,65,62,1.3450273951190255,ok,,,3,0.008,0.25
3,2025-02-01,2026-02-01,2026-02-01,2026-05-01,1.625398126367187,-0.1102884205611167,-0.06785317318386148,True,28.074876128039826,-1.5598970911722132,18.2260213716809,12.81126606824207,13,10,72,0,260,256,1.1474202592725582,ok,65,63,-0.04970534477156705,ok,,,2,0.008,0.25
