trial_id,fold_id,phase,n_bars_eq,n_nonzero_eq,sr_recomp,sharpe_a_saved,sharpe_flag,delta
1,1,IS,262,260,1.5949297726690208,0.9745519419444608,ok,0.62037783072456
1,1,OOS,66,66,3.8359872606504393,1.6316759501687037,ok,2.2043113104817356
1,2,IS,261,258,0.7862536319008019,0.4923115545053182,ok,0.29394207739548367
1,2,OOS,65,63,4.388680442427012,1.9414695965539397,ok,2.4472108458730726
1,3,IS,260,257,2.037754258939524,1.4949422085251882,ok,0.5428120504143359
1,3,OOS,65,64,1.0553286233010264,0.658350848228067,ok,0.3969777750729594
2,1,IS,262,260,1.5949297726690208,0.9745519419444608,ok,0.62037783072456
2,1,OOS,66,66,3.8359872606504393,1.6316759501687037,ok,2.2043113104817356
2,2,IS,261,258,0.7862536319008019,0.4923115545053182,ok,0.29394207739548367
2,2,OOS,65,63,4.388680442427012,1.9414695965539397,ok,2.4472108458730726
2,3,IS,260,257,2.037754258939524,1.4949422085251882,ok,0.5428120504143359
2,3,OOS,65,64,1.0553286233010264,0.658350848228067,ok,0.3969777750729594
3,1,IS,262,260,1.627719696277009,0.988451113226121,ok,0.6392685830508881
3,1,OOS,66,66,3.8359872606504393,1.6316759501687037,ok,2.2043113104817356
3,2,IS,261,258,0.7871291273615167,0.49285542406337,ok,0.2942737032981467
3,2,OOS,65,63,4.388680442427012,1.9414695965539397,ok,2.4472108458730726
3,3,IS,260,257,1.8869220659875472,1.4182241323190303,ok,0.46869793366851686
3,3,OOS,65,64,1.0553286233010264,0.658350848228067,ok,0.3969777750729594
4,1,IS,262,260,1.627719696277009,0.988451113226121,ok,0.6392685830508881
4,1,OOS,66,66,3.8359872606504393,1.6316759501687037,ok,2.2043113104817356
4,2,IS,261,258,0.7871291273615167,0.49285542406337,ok,0.2942737032981467
4,2,OOS,65,63,4.388680442427012,1.9414695965539397,ok,2.4472108458730726
4,3,IS,260,257,1.8869220659875472,1.4182241323190303,ok,0.46869793366851686
4,3,OOS,65,64,1.0553286233010264,0.658350848228067,ok,0.3969777750729594
5,1,IS,262,260,1.5949297726690208,0.9745519419444608,ok,0.62037783072456
5,1,OOS,66,66,3.8359872606504393,1.6316759501687037,ok,2.2043113104817356
5,2,IS,261,258,0.7862536319008019,0.4923115545053182,ok,0.29394207739548367
5,2,OOS,65,63,4.388680442427012,1.9414695965539397,ok,2.4472108458730726
5,3,IS,260,257,2.037754258939524,1.4949422085251882,ok,0.5428120504143359
5,3,OOS,65,64,1.0553286233010264,0.658350848228067,ok,0.3969777750729594
6,1,IS,262,260,1.5949297726690208,0.9745519419444608,ok,0.62037783072456
6,1,OOS,66,66,3.8359872606504393,1.6316759501687037,ok,2.2043113104817356
6,2,IS,261,258,0.7862536319008019,0.4923115545053182,ok,0.29394207739548367
6,2,OOS,65,63,4.388680442427012,1.9414695965539397,ok,2.4472108458730726
6,3,IS,260,257,2.037754258939524,1.4949422085251882,ok,0.5428120504143359
6,3,OOS,65,64,1.0553286233010264,0.658350848228067,ok,0.3969777750729594
7,1,IS,262,260,1.627719696277009,0.988451113226121,ok,0.6392685830508881
7,1,OOS,66,66,3.8359872606504393,1.6316759501687037,ok,2.2043113104817356
7,2,IS,261,258,0.7871291273615167,0.49285542406337,ok,0.2942737032981467
7,2,OOS,65,63,4.388680442427012,1.9414695965539397,ok,2.4472108458730726
7,3,IS,260,257,1.8869220659875472,1.4182241323190303,ok,0.46869793366851686
7,3,OOS,65,64,1.0553286233010264,0.658350848228067,ok,0.3969777750729594
8,1,IS,262,260,1.627719696277009,0.988451113226121,ok,0.6392685830508881
8,1,OOS,66,66,3.8359872606504393,1.6316759501687037,ok,2.2043113104817356
8,2,IS,261,258,0.7871291273615167,0.49285542406337,ok,0.2942737032981467
8,2,OOS,65,63,4.388680442427012,1.9414695965539397,ok,2.4472108458730726
8,3,IS,260,257,1.8869220659875472,1.4182241323190303,ok,0.46869793366851686
8,3,OOS,65,64,1.0553286233010264,0.658350848228067,ok,0.3969777750729594
9,1,IS,262,260,1.5949297726690208,0.9745519419444608,ok,0.62037783072456
9,1,OOS,66,66,3.8359872606504393,1.6316759501687037,ok,2.2043113104817356
9,2,IS,261,258,0.7862536319008019,0.4923115545053182,ok,0.29394207739548367
9,2,OOS,65,63,4.388680442427012,1.9414695965539397,ok,2.4472108458730726
9,3,IS,260,257,2.037754258939524,1.4949422085251882,ok,0.5428120504143359
9,3,OOS,65,64,1.0553286233010264,0.658350848228067,ok,0.3969777750729594
10,1,IS,262,260,1.5949297726690208,0.9745519419444608,ok,0.62037783072456
10,1,OOS,66,66,3.8359872606504393,1.6316759501687037,ok,2.2043113104817356
