trial_id,fold_id,phase,n_bars_saved,n_nonzero_saved,n_rows_dumped,n_nonzero_dumped,nonzero_extra_warmup,warmup_n_bars,pct_warmup_zero
17,1,IS,523,267,262,259,8,261,0.9693486590038314
17,1,OOS,327,74,66,66,8,261,0.9693486590038314
17,2,IS,522,267,261,258,9,261,0.9655172413793104
17,2,OOS,326,69,65,63,6,261,0.9770114942528736
17,3,IS,521,262,260,257,5,261,0.9808429118773946
17,3,OOS,325,64,65,64,0,260,1.0
18,1,IS,523,267,262,259,8,261,0.9693486590038314
18,1,OOS,327,74,66,66,8,261,0.9693486590038314
18,2,IS,522,267,261,258,9,261,0.9655172413793104
18,2,OOS,326,69,65,63,6,261,0.9770114942528736
18,3,IS,521,262,260,257,5,261,0.9808429118773946
18,3,OOS,325,64,65,64,0,260,1.0
19,1,IS,523,267,262,259,8,261,0.9693486590038314
19,1,OOS,327,74,66,66,8,261,0.9693486590038314
19,2,IS,522,267,261,258,9,261,0.9655172413793104
19,2,OOS,326,69,65,63,6,261,0.9770114942528736
19,3,IS,521,262,260,257,5,261,0.9808429118773946
19,3,OOS,325,64,65,64,0,260,1.0
20,1,IS,523,267,262,259,8,261,0.9693486590038314
20,1,OOS,327,74,66,66,8,261,0.9693486590038314
20,2,IS,522,267,261,258,9,261,0.9655172413793104
20,2,OOS,326,69,65,63,6,261,0.9770114942528736
20,3,IS,521,262,260,257,5,261,0.9808429118773946
20,3,OOS,325,64,65,64,0,260,1.0
21,1,IS,523,267,262,259,8,261,0.9693486590038314
21,1,OOS,327,74,66,66,8,261,0.9693486590038314
21,2,IS,522,267,261,258,9,261,0.9655172413793104
21,2,OOS,326,69,65,63,6,261,0.9770114942528736
21,3,IS,521,262,260,257,5,261,0.9808429118773946
21,3,OOS,325,64,65,64,0,260,1.0
22,1,IS,523,267,262,259,8,261,0.9693486590038314
22,1,OOS,327,74,66,66,8,261,0.9693486590038314
22,2,IS,522,267,261,258,9,261,0.9655172413793104
22,2,OOS,326,69,65,63,6,261,0.9770114942528736
22,3,IS,521,262,260,257,5,261,0.9808429118773946
22,3,OOS,325,64,65,64,0,260,1.0
23,1,IS,523,267,262,259,8,261,0.9693486590038314
23,1,OOS,327,74,66,66,8,261,0.9693486590038314
23,2,IS,522,267,261,258,9,261,0.9655172413793104
23,2,OOS,326,69,65,63,6,261,0.9770114942528736
23,3,IS,521,262,260,257,5,261,0.9808429118773946
23,3,OOS,325,64,65,64,0,260,1.0
24,1,IS,523,267,262,259,8,261,0.9693486590038314
24,1,OOS,327,74,66,66,8,261,0.9693486590038314
24,2,IS,522,267,261,258,9,261,0.9655172413793104
24,2,OOS,326,69,65,63,6,261,0.9770114942528736
24,3,IS,521,262,260,257,5,261,0.9808429118773946
24,3,OOS,325,64,65,64,0,260,1.0
25,1,IS,523,272,262,260,12,261,0.9540229885057472
25,1,OOS,327,78,66,66,12,261,0.9540229885057472
25,2,IS,522,271,261,259,12,261,0.9540229885057472
25,2,OOS,326,75,65,63,12,261,0.9540229885057472
25,3,IS,521,269,260,257,12,261,0.9540229885057472
25,3,OOS,325,75,65,64,11,260,0.9576923076923077
26,1,IS,523,272,262,260,12,261,0.9540229885057472
26,1,OOS,327,78,66,66,12,261,0.9540229885057472
26,2,IS,522,271,261,259,12,261,0.9540229885057472
26,2,OOS,326,75,65,63,12,261,0.9540229885057472
26,3,IS,521,269,260,257,12,261,0.9540229885057472
26,3,OOS,325,75,65,64,11,260,0.9576923076923077
27,1,IS,523,272,262,260,12,261,0.9540229885057472
27,1,OOS,327,78,66,66,12,261,0.9540229885057472
27,2,IS,522,271,261,259,12,261,0.9540229885057472
27,2,OOS,326,75,65,63,12,261,0.9540229885057472
27,3,IS,521,269,260,257,12,261,0.9540229885057472
27,3,OOS,325,75,65,64,11,260,0.9576923076923077
28,1,IS,523,272,262,260,12,261,0.9540229885057472
28,1,OOS,327,78,66,66,12,261,0.9540229885057472
28,2,IS,522,271,261,259,12,261,0.9540229885057472
28,2,OOS,326,75,65,63,12,261,0.9540229885057472
28,3,IS,521,269,260,257,12,261,0.9540229885057472
28,3,OOS,325,75,65,64,11,260,0.9576923076923077
29,1,IS,523,272,262,260,12,261,0.9540229885057472
29,1,OOS,327,78,66,66,12,261,0.9540229885057472
29,2,IS,522,271,261,259,12,261,0.9540229885057472
29,2,OOS,326,75,65,63,12,261,0.9540229885057472
29,3,IS,521,269,260,257,12,261,0.9540229885057472
29,3,OOS,325,75,65,64,11,260,0.9576923076923077
30,1,IS,523,272,262,260,12,261,0.9540229885057472
30,1,OOS,327,78,66,66,12,261,0.9540229885057472
30,2,IS,522,271,261,259,12,261,0.9540229885057472
30,2,OOS,326,75,65,63,12,261,0.9540229885057472
30,3,IS,521,269,260,257,12,261,0.9540229885057472
30,3,OOS,325,75,65,64,11,260,0.9576923076923077
31,1,IS,523,272,262,260,12,261,0.9540229885057472
31,1,OOS,327,78,66,66,12,261,0.9540229885057472
31,2,IS,522,271,261,259,12,261,0.9540229885057472
31,2,OOS,326,75,65,63,12,261,0.9540229885057472
31,3,IS,521,269,260,257,12,261,0.9540229885057472
31,3,OOS,325,75,65,64,11,260,0.9576923076923077
32,1,IS,523,272,262,260,12,261,0.9540229885057472
32,1,OOS,327,78,66,66,12,261,0.9540229885057472
32,2,IS,522,271,261,259,12,261,0.9540229885057472
32,2,OOS,326,75,65,63,12,261,0.9540229885057472
32,3,IS,521,269,260,257,12,261,0.9540229885057472
32,3,OOS,325,75,65,64,11,260,0.9576923076923077
33,1,IS,523,272,262,260,12,261,0.9540229885057472
33,1,OOS,327,78,66,66,12,261,0.9540229885057472
33,2,IS,522,271,261,259,12,261,0.9540229885057472
33,2,OOS,326,75,65,63,12,261,0.9540229885057472
33,3,IS,521,269,260,257,12,261,0.9540229885057472
33,3,OOS,325,75,65,64,11,260,0.9576923076923077
34,1,IS,523,272,262,260,12,261,0.9540229885057472
