fold_id,is_start,is_end,oos_start,oos_end,is_sharpe_a,oos_sharpe_a,degradation_ratio,overfitting_flag,is_pnl_pct,oos_pnl_pct,is_max_dd,oos_max_dd,is_trades,oos_trades,n_combos_evaluated,n_combos_skipped_min_trades,param_max_sector_pct,param_min_concordant,param_threshold
1,2024-02-22,2025-02-22,2025-02-22,2025-05-22,1.01126139263092,1.0,0.9888640140788703,False,39.09784747058143,2.2490634004859844,13.092304828680035,17.85574347339291,12,12,8,0,,2,0.25
2,2024-05-22,2025-05-22,2025-05-22,2025-08-22,1.414199779752831,1.0,0.7071136725638415,False,28.260180323333262,5.7618264834470745,15.018390303083084,3.647414373126058,10,10,8,0,,3,0.25
3,2024-08-22,2025-08-22,2025-08-22,2025-11-22,1.3205187552058222,1.0,0.757278150013201,False,51.51365975336446,6.462714412290582,18.078880941357472,4.975884947341123,10,10,8,0,,3,0.25
4,2024-11-22,2025-11-22,2025-11-22,2026-02-22,1.1121337585496192,1.3985057777920582,1.2574978207800371,False,16.949403429961695,10.664069555618273,19.29897793557694,3.9927156471628162,10,7,8,0,,3,0.15
5,2025-02-22,2026-02-22,2026-02-22,2026-05-22,1.0211234085196548,1.0,0.9793135596114892,False,25.482231871397488,9.701008302526471,17.236914997094313,12.495092277408503,18,12,8,0,0.3,2,0.15
