fold_id,is_start,is_end,oos_start,oos_end,is_sharpe_a,oos_sharpe_a,degradation_ratio,overfitting_flag,is_pnl_pct,oos_pnl_pct,is_max_dd,oos_max_dd,is_trades,oos_trades,n_combos_evaluated,n_combos_skipped_min_trades,is_n_bars,is_n_nonzero_returns,is_sharpe_bt,is_sharpe_flag,oos_n_bars,oos_n_nonzero_returns,oos_sharpe_bt,oos_sharpe_flag,param_max_portfolio_beta,param_max_sector_pct,param_min_concordant,param_target_risk_pct,param_threshold
1,2024-02-22,2025-02-22,2025-02-22,2025-05-22,1.5921494658827136,0.36868383942487887,0.2315635857846264,True,43.26284596598242,4.89673055777835,12.575422370280648,16.77158146440797,10,10,72,0,523,271,1.593673783575918,ok,325,75,0.36925235763370357,ok,,,3,0.008,0.25
2,2024-05-22,2025-05-22,2025-05-22,2025-08-22,1.3204578836562757,1.537805772356744,1.1646003945984584,False,37.38327286736247,10.530198716040129,14.414482111657188,3.3141235951513783,17,10,72,0,523,271,1.3217220848875795,ok,328,79,1.5401553623783595,ok,,0.3,2,0.008,0.2
3,2024-08-22,2025-08-22,2025-08-22,2025-11-22,1.5440798129438063,0.8666621608446632,0.5612806757653036,False,51.51365975336446,6.462714412290582,18.078880941357472,4.975884947341123,10,10,72,0,523,271,1.5455581089386394,ok,327,78,0.86799037949501,ok,,,3,0.008,0.25
4,2024-11-22,2025-11-22,2025-11-22,2026-02-22,0.7325487503395058,1.0863732741324295,1.4830047469590804,False,13.916745651168828,10.780218548938759,15.513028534959986,4.478949271234016,15,13,72,0,522,270,0.7332514351536723,ok,326,75,1.088043333956375,ok,,0.3,2,0.008,0.25
5,2025-02-22,2026-02-22,2026-02-22,2026-05-22,0.9648583475327533,0.31298215277952895,0.3243814530701403,False,24.151761022170536,3.8409133242206517,18.119287025737588,12.495092277408503,17,11,72,0,521,270,0.9657856503393156,ok,325,75,0.3134647778199155,ok,,,2,0.008,0.2
